#,Company,Email,Person,Title,City,Notes
,EndureAir Systems,sales@endureair.tech,Sales Desk,Sales,Kanpur,Kanpur IIT-K incubated UAV/drone startup; VERIFIED printed on endureair.com/contact; MX OK
,Phool (Kanpur Flowercycling),hello@phool.co,Contact Desk,General,Kanpur,Kanpur IIT-K incubated flowercycling/Fleather; VERIFIED printed on phool.co/pages/contact-us; MX OK
,Phool (Kanpur Flowercycling),bulk@phool.co,Bulk Orders Desk,Sales,Kanpur,Kanpur IIT-K incubated flowercycling/Fleather; VERIFIED printed on phool.co/pages/contact-us; MX OK
,Aarna Biomedical,info@aarnabiomed.in,Corporate Office,General,Kanpur,Kanpur IIT-K incubated medtech; VERIFIED printed on aarnabiomed.in; MX OK
,Airth Research,hello@airth.in,Contact Desk,General,Kanpur,Kanpur IIT-K incubated air-purification deep-tech; VERIFIED printed on airth.in; MX OK
,Airth Research,support@airth.in,Support Desk,Support,Kanpur,Kanpur IIT-K incubated air-purification deep-tech; VERIFIED printed on airth.in; MX OK
,Simacriticals,info@simactricals.io,Corporate Office,General,Kanpur,Kanpur IIT-K incubated deep-tech; VERIFIED printed on simactricals.io and /careers; MX OK
,xTerra Robotics,careers@xterrarobotics.com,Careers Desk,Recruitment,Kanpur,Kanpur IIT-K incubated robotics; VERIFIED printed on xterrarobotics.com/careers; MX OK
,Webixy Technologies,hr@webixytech.com,HR Desk,Recruitment,Kanpur,Kanpur web/app dev; VERIFIED printed on webixytech.com; MX OK
,Webixy Technologies,support@webixytech.com,Support Desk,Support,Kanpur,Kanpur web/app dev; VERIFIED printed on webixytech.com; MX OK
,Novus Logic,info@novuslogic.co.in,Corporate Office,General,Kanpur,Kanpur IT services; VERIFIED printed on novuslogic.co.in; MX OK
,Traffic Tail,info@traffictail.com,Corporate Office,General,Kanpur,Kanpur digital marketing/IT; VERIFIED printed on traffictail.com/contact-us; MX OK
,FutureZen Group,contact@futurezengroup.com,Contact Desk,General,Kanpur,Kanpur IT services; VERIFIED printed on futurezengroup.com/contact-us; MX OK
,FutureZen Group,info@futurezengroup.com,Corporate Office,General,Kanpur,Kanpur IT services; VERIFIED printed on futurezengroup.com/contact-us; MX OK
,Lohia Corp,sales@lohiagroup.com,Sales Desk,Sales,Kanpur,Kanpur industrial machinery manufacturer; VERIFIED printed on lohiagroup.com; MX OK
,JK Cement,consumer.care@jkcement.com,Consumer Care,Customer Care,Kanpur,Kanpur-HQ cement major; VERIFIED printed on jkcement.com/contact-us; MX OK
,JK Cement,customercare.white@jkcement.com,White Cement Care,Customer Care,Kanpur,Kanpur-HQ cement major; VERIFIED printed on jkcement.com/contact-us; MX OK
,Regency Health,careers@regencyhealthcare.in,Careers Desk,Recruitment,Kanpur,Kanpur hospital group; VERIFIED printed on regencyhealthcare.in/careers; MX OK
,Regency Health,info@regencyhealthcare.in,Corporate Office,General,Kanpur,Kanpur hospital group; VERIFIED printed on regencyhealthcare.in/contact-us; MX OK
,Regency Health,info.rck@regencyhealthcare.in,Kanpur Unit,General,Kanpur,Kanpur unit desk; VERIFIED printed on regencyhealthcare.in/contact-us; MX OK
,Regency Health,info.gkp@regencyhealthcare.in,Gorakhpur Unit,General,Kanpur,Gorakhpur unit of the Kanpur hospital group; VERIFIED printed on regencyhealthcare.in/contact-us; MX OK
,Yelo Marketing,hr@yelomarketing.com,HR Desk,Recruitment,Kanpur,Kanpur digital marketing/IT; VERIFIED printed on yelomarketing.com/contact-us; MX OK
,Yelo Marketing,info@yelomarketing.com,Corporate Office,General,Kanpur,Kanpur digital marketing/IT; VERIFIED printed on yelomarketing.com/contact-us; MX OK
,7K Network,info@7knetwork.com,Corporate Office,General,Kanpur,Kanpur IT services; VERIFIED printed on 7knetwork.com/contact-us; MX OK
,Yelo Marketing,daman@yelomarketing.com,Daman,Founder/Director,Kanpur,Kanpur digital marketing/IT; VERIFIED rendered on yelomarketing.com/about (WebFetch-confirmed); MX OK
