#,Company,Email,Person,Title,City,Notes
,Pixerio,careers@pixerio.com,Careers Desk,Recruitment,Kota,Kota software/web dev; VERIFIED printed on pixerio.com/careers; MX OK
,Pixerio,info@pixerio.com,Corporate Office,General,Kota,Kota software/web dev; VERIFIED printed on pixerio.com; MX OK
,Webi7 Digital Media,info@webi7.com,Corporate Office,General,Kota,Kota web dev/digital marketing; VERIFIED printed on webi7.com; MX OK
,Gosotek Technologies,careers@gosotek.com,Careers Desk,Recruitment,Kota,Kota mobile app/web dev; VERIFIED printed on gosotek.com/careers; MX OK
,Gosotek Technologies,connect@gosotek.com,Contact Desk,General,Kota,Kota mobile app/web dev; VERIFIED printed on gosotek.com; MX OK
,Kriscent Techno Hub,info@kriscent.in,Corporate Office,General,Kota,Kota software/web dev (est. 2014); VERIFIED printed on kriscent.in; MX OK
,Infigo Software,contact@infigosoftware.in,Contact Desk,General,Kota,Kota web design/dev (est. 2010); VERIFIED printed on infigosoftware.in; MX OK
,Meet Digital Solutions,info@meetdigitalsolutions.com,Corporate Office,General,Kota,Kota web dev/digital marketing; VERIFIED printed on meetdigitalsolutions.com; MX OK
,Sopan Digital,care@sopandigital.in,Care Desk,General,Kota,Kota digital marketing/web dev; VERIFIED printed on sopandigital.com; MX OK
,Extralogics IT Solutions,info@extralogics.com,Corporate Office,General,Kota,Kota software/web dev (est. 2016); VERIFIED printed on extralogics.com/contact-us; MX OK
,Extralogics IT Solutions,support@extralogics.com,Support Desk,General,Kota,Kota software/web dev (est. 2016); VERIFIED printed on extralogics.com/contact-us; MX OK
,Kotapride,online@kotapride.com,Online Desk,General,Kota,Kota digital marketing/web design; VERIFIED printed on kotapride.com/contact-us; MX OK
,Shineing Digital LLP,hr@shineing.digital,HR Desk,Recruitment,Kota,Kota digital marketing/web design; VERIFIED printed on shineing.digital; MX OK
,Shineing Digital LLP,sales@shineing.digital,Sales Desk,General,Kota,Kota digital marketing/web design; VERIFIED printed on shineing.digital; MX OK
,Shineing Digital LLP,support@shineing.digital,Support Desk,General,Kota,Kota digital marketing/web design; VERIFIED printed on shineing.digital; MX OK
,codeArrest Softwares,sales@codearrest.com,Sales Desk,General,Kota,Kota mobile app/web dev; VERIFIED printed on codearrest.com/contact-us; MX OK
,TWS Technology,info@twstechnology.in,Corporate Office,General,Kota,Kota software/web/app dev; VERIFIED printed on twstechnology.in/contact-us; MX OK
